New ward code,Year,Population,Square Kilometres,Population per square kilometre
E05014020,2013,14623.5,1.5175,10013.20807988746
E05014020,2014,14572.5,1.5175,9983.90547407062
E05014020,2015,14591.5,1.5175,10004.629571256943
E05014020,2016,14444.0,1.5175,9908.159456105306
E05014020,2017,14449.5,1.5175,9913.788476190648
E05014020,2018,14535.0,1.5175,9973.568304751063
E05014020,2019,14614.0,1.5175,10027.68083742059
E05014020,2020,14629.0,1.5175,10040.253088632357
E05014020,2021,14690.0,1.5175,10082.839650492362
E05014020,2022,14770.0,1.5175,10139.441686585096
E05014020,2023,14837.5,1.5175,10187.179496416484
E05014020,2024,14900.5,1.5175,10231.906801565616
E05014020,2025,14966.5,1.5175,10278.942137789298
E05014021,2013,16458.0,1.5219999999999998,10813.403416557163
E05014021,2014,16940.0,1.5219999999999998,11130.091984231276
E05014021,2015,17375.0,1.5219999999999998,11415.900131406046
E05014021,2016,17628.0,1.5219999999999998,11582.128777923786
E05014021,2017,17666.0,1.5219999999999998,11607.095926412616
E05014021,2018,17799.0,1.5219999999999998,11694.480946123524
E05014021,2019,17907.0,1.5219999999999998,11765.440210249673
E05014021,2020,17962.0,1.5219999999999998,11801.576872536138
E05014021,2021,18082.0,1.5219999999999998,11880.420499342972
E05014021,2022,18199.0,1.5219999999999998,11957.293035479634
E05014021,2023,18322.0,1.5219999999999998,12038.107752956637
E05014021,2024,18425.0,1.5219999999999998,12105.781865965837
E05014021,2025,18511.0,1.5219999999999998,12162.2864651774
E05014022,2013,15436.0,1.921,8035.398230088495
E05014022,2014,16056.0,1.921,8358.146798542426
E05014022,2015,16243.0,1.921,8455.49193128579
E05014022,2016,16732.0,1.921,8710.046850598646
E05014022,2017,16840.0,1.921,8766.267568974492
E05014022,2018,17018.0,1.921,8858.9276418532
E05014022,2019,17175.0,1.921,8940.655908381052
E05014022,2020,17485.0,1.921,9102.030192608016
E05014022,2021,17842.0,1.921,9287.870900572618
E05014022,2022,18207.0,1.921,9477.87610619469
E05014022,2023,18569.0,1.921,9666.31962519521
E05014022,2024,18912.0,1.921,9844.87246225924
E05014022,2025,19022.0,1.921,9902.134305049452
E05014023,2013,15292.5,1.41175,11405.291720543817
E05014023,2014,15304.5,1.41175,11419.27233486613
E05014023,2015,15439.75,1.41175,11538.166995381865
E05014023,2016,15351.0,1.41175,11481.870494192857
E05014023,2017,15393.0,1.41175,11517.080454102925
E05014023,2018,15510.25,1.41175,11608.530258340776
E05014023,2019,15613.25,1.41175,11688.998381937148
E05014023,2020,15664.75,1.41175,11729.3511267094
E05014023,2021,15763.75,1.41175,11804.13233959523
E05014023,2022,15880.5,1.41175,11893.276413691947
E05014023,2023,15981.5,1.41175,11969.669637770052
E05014023,2024,16078.75,1.41175,12043.253825316711
E05014023,2025,16177.75,1.41175,12117.226333510887
E05014024,2013,16039.0,1.341,12357.239137563642
E05014024,2014,16110.666666666666,1.341,12410.7705670109
E05014024,2015,16314.666666666666,1.341,12581.23077530077
E05014024,2016,16268.666666666666,1.341,12552.055536048976
